Unnamed: 0,Song Title,Artists,Producers,Genius ViewCount,Song Rank,Year,Lyrics
41,Last Night,"('Diddy', 'Keyshia Cole')","['Diddy', 'Mario Winans']",66313,42,2007,"[Chorus: Diddy]
Last night, I couldn't even get an answer
I tried to call, but my pride wouldn't let me dial
And I'm sitting here with this blank expression
And the way I feel, I wanna curl up like a child

[Post-Chorus: Diddy]
I know you can hear me
I know you can feel me
I can't live without you
Girl, please make me better
I wish I wasn't the way I am

[Verse: Keyshia Cole]
If I told you once, I told you twice
You can see it in my eyes
I'm all cried out, with nothing to say
You're everything I wanted to be
If you could only see, it all belongs to me
I love you so much, I'm yearning for your touch
Come and set me free, forever yours, I'll be
Baby, won't you come and take this pain away?

[Chorus: Diddy & (Keyshia Cole)]
Last night, I couldn't even get an answer
(You said you couldn't get an answer, baby)
I tried to call, but my pride wouldn't let me dial
(That should never stop you)
And I'm sitting here (Sitting there) with this blank expression
(I can't read your mind, baby)
And the way I feel (The way I feel), I wanna curl up like a child
(Ooh baby)

[Bridge: Keyshia Cole]
I need you and you need me
This is so plain to see
And I would never let you go
And I will always love you so, I will
If you could only see, your heart belongs to me
I love you so much, I'm yearning for your touch
Come and set me free, forever yours, I'll be
Baby, won't you come and take this pain away

[Chorus: Diddy & (Keyshia Cole)]
Last night (Oh, last night), I couldn't even get an answer
(Oh baby, what you wanna do to me?)
I tried to call (Alright), but my pride wouldn't let me dial
(Why would you just hurt me, baby? Oh)
And I'm sitting here with this blank expression
(Don't save me baby, don't, no)
And the way I feel, I wanna curl up like a child
(I'm so alone, I'm so lonely, baby, oh)

[Break: Diddy & (Keyshia Cole)]
Tell me what words to say to make you come back
Don't break me like that (Ooh)
And if it matters, I'd rather stay home (Baby)
With you, I'm never alone
Don't wanna wait 'til you're gone
Whatever you do, just don't leave me

[Chorus: Diddy & (Keyshia Cole)]
Last night (Yeah), I couldn't even get an answer (Didn't get an answer, baby)
(Oh) I tried to call (Call me, baby), but my pride wouldn't let me dial
(Oh, couldn't you just dial me, baby, baby, baby, baby, baby, baby?)
And I'm sitting here with this blank expression (Don't sit there, no)
And the way I feel (Alright, yeah), I wanna curl up like a child
(I'm so alone, I'm so lonely, baby, oh)

[Bridge: Keyshia Cole]
I need you and you need me (I need you)
This is so plain to see
And I would never let you go
And I will always love you so, I will
If you could only see, your heart belongs to me (Belongs to me)
I love you so much (So, so), I'm yearning for your touch
Come and set me free, forever yours, I'll be
Baby, won't you come and take my pain away?

[Chorus: Diddy & (Keyshia Cole)]
Last night, I couldn't even get an answer (I couldn't get you, baby, yeah, oh)
I tried to call (Call me, baby), but my pride wouldn't let me dial
(Why couldn't you just dial me, baby, baby, baby, baby, baby, baby?)
And I'm sitting here with this blank expression (Don't sit there, no)
And the way I feel (Alright, yeah), I wanna curl up like a child
(I'm so alone, I'm so lonely, baby)

[Bridge: Keyshia Cole]
Why don't you pick up the phone and dial up my number?
And call me up, baby, I'm waiting on you
Why don't you pick up the phone and dial up my number?
Just call me up, baby, I'm waiting on you

[Outro: Diddy]
{Phone dialing and ringing}
""Hello
Hey what's-up
I've been tryin' to reach you all night
That shit ain't funny not picking up the motherfucking phone
Better stop fucking playing with a nigga's feelings like that
You know how much I love you, right?
But for them couple of seconds though
When I couldn't get in touch with you
I'm ready to come over your house and shoot that motherfucker up
You better fucking not be there when I get over that house
{Laughing}
That's really how it goes down, right?"""
42,Let It Go,"('Keyshia Cole', 'Missy Elliott', 'Lil Kim')","['Cainon Lamb', 'Missy Elliott']",143853,65,2007,"[Intro: Keyshia Cole]
You need to get if he don't wanna
LOVE you the right way, he ain't gonna
It ain't where he's at, it's where he..
WHERE HE WANNA BEEE, YEAH-HEAA

[Missy Elliott]
NEW KEYSHIA!
YES!! (Whoo!)
Fire.. (uh-huh)
I like this one right here
This one for all my ladies y'all
Holla! Uhhhhhhh-huh
Let's go!

[Verse 1: Missy Elliott]
I don't want'cho maaaaan, cause I got it like that
But it ain't even gotta be like dat, eh-heh-heh-heh-heh
Yo' man he be callin me back
He say I'm fine and a matter of fact - heh-heh-heh-heh
He ask how I do that that fit my jeans over Baby Phat
Listen, I don't know the type of tricks he playin
But I should warn you, I don't want yo' man (c'mon)

[Verse 2: Keyshia Cole]
I understand why you wanna try
To make him stay home late at night
But if he wanna go, he'll be GONE no lie
I can't explain how many times I tried
How many times I cried
Thinkin' about mine and where he might be (Baby, I don't wanna know)
Remember when I gave everything I've got
Couldn't get deep down inside
How you love someone who didn't love me? (c'mon)
But now I get if he don't wanna
Love you the right way, he ain't gonna
It ain't where he's at it's where he, where he wanna beeeee

[Hook]
If he ain't gonna love you, the way he should
Then let it goooo
If he ain't gonna treat you, the way he should
Then let it goooo
If he ain't gonna love you, the way he should
Then let it goooo
If he ain't gonna treat you, the way he should
Then let it goooo

[Interlude: Missy Elliott]
When this song come on in the club, they gon be like
Daaaaaaaaaaamn, that's hot
And when they play it in the car, they gon' drop they tops like
Daaaaaaaaaaamn, that's hot (WHOOP!)
They gon' mix it with Biggie, ""IT WAS ALL A DREAM.."" like
Daaaaaaaaaaamn, that's hot
Me and Keyshia don't stop, 'til the tick don't tock like
Daaaaaaaaaaamn, that's hot

[Verse 3: Keyshia Cole]
Now understand why I take my time
Cause you come with alibis
Tryna get me to see that's where you tryna be
But I don't want your man!
Your man's been callin me, tryna get me to see
That he wants me to be with him
But he ain't the one for meeeee
And if you only knew (only knew)
You would, do what you had to
Finally see that (finally get the chance to see that)
You need to get if he don't wanna
LOVE you the right way, he ain't gonna
It ain't where he's at, it's where he..
WHERE HE WANNA BEEE, YEAH-HEAA

[Verse 4: Lil' Kim]
Uh, uh, uh
Here's a little lesson, Lil' Kim don't stress 'em
Kick 'em all straight to the curb like Beckham
Broke wit my ex, he with her for now
But little do she know, she's just a rebound (HEEY!)
Callin my phone, she's so outta pocket
I been there before ol' girl, you need to stop it
When he's with you, he's wishin it was me
You might be where he's at, but I'm where he wanna be Baby, BAY-BAY!

[Hook]
If he ain't gonna love you, the way he should
Then let it goooo
If he ain't gonna treat you, the way he should
Then let it goooo
If he ain't gonna love you, the way he should
Then let it goooo
If he ain't gonna treat you, the way he should
Then let it goooo

[Missy Elliott]
HANDS UP IN THE AIR!!

[Interlude: Missy Elliott]
When this song come on in the club, they gon be like
Daaaaaaaaaaamn, that's hot
And when they play it in the car, they gon' drop they tops like
Daaaaaaaaaaamn, that's hot (WHOOP!)
They gon' mix it with Biggie, ""IT WAS ALL A DREAM.."" like
Daaaaaaaaaaamn, that's hot
Me and Keyshia don't stop, 'til the tick don't tock like
Daaaaaaaaaaamn, that's hot

[Outro: Missy Elliott]
YES...
FIRE, BABY!"
43,Like A Boy,"('Ciara',)",['Calvo Da Gr8'],58200,68,2007,"[Intro]
C-I-A-R-A

[Verse 1]
Pull up your pants (Just like em')
Take out the trash (Just like em')
Getting ya cash like 'em, fast like 'em
Girl, you outta act like ya dig (What I'm talkin' bout')
Security codes on everything
On vibrate so your phone don't ever ring (Joint account)
And another one he don't know about

[Pre-Chorus]
Wish we could switch up the roles
And I could be that
Tell you I love you, but when you call, I never get back
Would you ask them questions like me?
Like where you be at?
'Cause I'm out four in the morning
On the corner, rolling, doing my own thing, oh

[Chorus]
What if I
Had a thing on the side?
Made ya cry?
Would the rules change up
Or would they still apply?
If I played you like a toy
Sometimes I wish I could act like a boy

[Post-Corus]
Can't be getting mad
What you mad?
Can't handle that!
Can't be getting mad
What you mad?
Can't handle that

[Verse 2]
Girl, go 'head and be (Just like 'em)
Go run the streets (Just like 'em)
Come home and sleep like em'
Creep like em'
Front with ya friends
Act hard when you're with em' like em' (What?)
Keep a straight face when ya tell a lie
Always keep an air-tight alibi (Keep him in the dark)
What he don't know won't break his heart

[Pre-Chorus]
Wish we could switch up the roles
And I could be that
Tell you I love you, but when you call, I never get back
Would you ask them questions like me?
Like where you be at?
'Cause I'm out four in the morning
On the corner, rolling, doing my own thing, oh

[Chorus]
What if I
Had a thing on the side?
Made ya cry?
Would the rules change up
Or would they still apply?
If I played you like a toy
Sometimes I wish I could act like a boy

[Post-Chorus]
Can't be getting mad
What you mad?
Can't handle that
Can't be getting mad
What you mad?
Can't handle that
Can't be getting mad
What you mad?
Can't handle that
Can't be getting mad
What you mad?
Can't handle that

[Bridge]
If I was always gone
With the sun getting home (Would ya like that?)
Told you I was with my crew
When I knew it wasn't true (Would ya like that?)
If I act like you
Walk A mile off in yo shoes (Would ya like that?)
I'm messing with your head again
Dose of your own medicine

[Chorus]
What if I
Had a thing on the side? (What if I?)
Made ya cry?
Would the rules change up
Or would they still apply?
If I played you like a toy
Sometimes I wish I could act like a boy

[Post-Chorus]
Can't be getting mad
What you mad?
Can't handle that
Can't be getting mad
What you mad?
Can't handle that
Can't be getting mad
What you mad?
Can't handle that
Can't be getting mad
What you mad?
Can't handle that

[Interlude]
R-A
It's The Clutch
If I played you (It's Ciara, ha ha)
Would yo like that?
Had friends...
Would you like that? (It's Ciara, ha ha)
Never call?
Would you like that? (Another one)
Hell naw
You wouldn't like that
No!

[Pre-Chorus]
What you mad?
Can't handle that
(What if I made you cry?)
Why you getting mad?
What you mad?
Can't handle that
Would they still apply?

[Chorus]
What if I
If I, played you like a toy
Made ya cry?
Sometimes I wish I could act like a boy
Can't handle that"
44,Lips Of An Angel,"('Hinder',)",['Brian Howes'],62804,46,2007,"[Verse 1]
Honey why you callin’ me so late?
It’s kinda hard to talk right now
Honey why you cryin’ is every-thing okay
I gotta whisper cause I can’t be too loud

[Pre-Chorus]
Well, my girl’s in
The next room
Sometimes I wish she was you
I guess we never really moved on

[Chorus]
It’s really good to hear your voice
Sayin’ my name it sounds so sweet
Comin’ from the lips of an angel
Hearin’ those words it makes me weak
And I never wanna say goodbye
But girl you make it hard to be faithful
With the lips of an angel

[Verse 2]
It‘s funny that you’re callin’ me tonight
And yes I’ve dreamt of you too
Does he know you’re talkin’ to me
Will it start a fight?
No I don’t think she has a clue

[Pre-Chorus]
Well, my girl’s in
The next room
Sometimes I wish she was you
I guess we never really moved on

[Chorus]
It’s really good to hear your voice
Sayin’ my name it sounds so sweet
Comin’ from the lips of an angel
Hearin’ those words it makes me weak
And I never wanna say goodbye
But girl you make it hard to be faithful
With the lips of an angel

[Pre-Chorus]
Well, my girl’s in
The next room
Sometimes I wish she was you
I guess we never really moved on

[Chorus/Outro]
It’s really good to hear your voice
Sayin’ my name it sounds so sweet
Comin’ from the lips of an angel
Hearin’ those words it makes me weak
And I never wanna say goodbye
But girl you make it hard to be faithful
With the lips of an angel
(And I never wanna say goodbye)
But girl you make it hard to be faithful
With the lips of an angel
Honey why you callin’ me so late?"
45,Lost Without U,"('Robin Thicke',)","['Pro-Jay', 'Robin Thicke']",63510,48,2007,"[Chorus]
I'm lost without you, can't help myself
How does it feel to know that I love you, baby?
I'm lost without you, can't help myself
How does it feel to know that I love you, baby?

[Verse 1]
Tell me how you love me more
And how you think I'm sexy, baby
That you don't want nobody else
You don't want this guy, you don't want that guy
You wanna touch yourself when you see me
Tell me how you love my body
And how I make you feel, baby
You wanna roll with me, you wanna hold with me
You wanna stay warm and get out of the cold with me
I just love to hear you say it
It makes a man feel good, baby
Tell me you depend on it, I need to hear it

[Chorus]
I'm lost without you, can't help myself
How does it feel to know that I love you, baby?
I'm lost without you, can't help myself
How does it feel to know that I love you, baby?

[Verse 2]
Baby, you're the perfect shape
Baby, you're the perfect weight
Treat me like my birthday
I want it this way, I want it that way, I want it
Tell me you don't want me to stop (Don't stop)
Tell me it would break your heart
But you love me and all my dirty
You wanna roll with me, you wanna hold with me
You wanna make fires and get Norwegian wood with me
I just love to hear you say it
It makes a man feel good, baby

[Chorus]
I'm lost without you, can't help myself
How does it feel to know that I love you baby?
I'm lost without you, can't help myself
How does it feel to know that I love you, baby?

[Bridge]
Cause you will tell me every morning
Ooh, alright, baby
Oh, yeah, oh, baby
Oh, darling, alright

[Chorus]
I'm lost without you! Can't help myself
How does it feel to know that I love you, baby?
I'm lost without you, can't help myself
How does it feel to know that I love you, baby?

[Outro]
Ooh yeah, oh baby
Oh darlin', all right-right
Oh baby, oh darlin'
Ooh, ooh, baby, all right-right
Yeah"
46,LoveStoned,"('Justin Timberlake',)","['Justin Timberlake', 'Danja', 'Timbaland']",28199,96,2007,"[Part I: LoveStoned]

[Intro]
Hey! Uh
She's freaky and she knows it
She's freaky and I like it
Listen

[Verse 1]
She grabs the yellow bottle, she likes the way it hits her lips
She gets to the bottom, it sends her on a trip so right
She might be goin' home with me tonight
And, she looks like a model, except she's got a little more ass
Don't even bother, unless you've got that thing she likes
Ooh, I hope she's goin' home with me tonight
Hey!

[Chorus]
Those flashing lights come from everywhere
The way they hit her, I had to stop and stare
She's got me love stoned, man, I swear
She's bad and she knows, I think that she knows, uh

[Post-Chorus]
She's freaky and she knows it
She's freaky, but I like it
Yeah

[Verse 2]
She shuts the room down the way she walks and causes a fuss
The baddest in town, she's flawless like some uncut ice
Well, I hope she's goin' home with me tonight, oh
And all she wants is to dance
That's why you'll find her on the floor
But you don't have a chance
Unless you move the way that she likes
That's why she's goin' home with me tonight, oh
Hey!

[Chorus]
Those flashing lights come from everywhere
The way they hit her, I had to stop and stare
She's got me love stoned, man, I swear
She's bad and she knows, I think that she knows, uh
Those flashing lights seem to cause a glare (Cause a glare)
The way they hit her, I had to stop and stare (I had to stop and stare)
She's got me love stoned from everywhere
She's bad and she knows, I think that she knows

[Post-Chorus]
Now dance
Get it, girl
You're freaky, but I like it
Hot damn!
Let me put my funk on this song one time

[Break]
Ow!

[Chorus]
Those flashing lights come from everywhere
The way they hit her, I had to stop and stare
She's got me love stoned, man, I swear
She's bad and she knows, I think that she knows, uh
Those flashing lights seem to cause a glare
The way they hit her, I had to stop and stare
She's got me love stoned from everywhere
She's bad and she knows, I think that she knows
Those flashing lights come from everywhere
The way they hit her, I had to stop and stare
She's got me love stoned, man, I swear
She's bad and she knows, I think that she knows, uh

[Instrumental Break]

[Part II: I Think She Knows (Interlude)]

[Chorus 1]
Those flashing lights come from everywhere
The way they hit her, I had to stop and stare
She's got me love stoned
I think I'm love stoned
She's got me love stoned
I think that she knows, think that she knows, oh, oh
I think that she knows, think that she knows, oh, oh
I think that she knows, think that she knows, oh, oh

[Chorus 2]
Those flashing lights come from everywhere
(Those flashing lights come from everywhere)
The way they hit her, I had to stop and stare (Stop and stare)
I'm love stoned from everywhere and she knows
I think that she knows
Think that she knows, oh, oh
And now I walk around without a care (Without a care)
She's got me hooked, it just ain't fair, but I
I'm love stoned and I could swear that she knows
I think that she knows, oh, oh
She knows, she knows, oh, oh

[Outro]
Mmmm, mmm
Oh, oh
Mmmm, mmm
Mmmm, mmm
Mmmm, hmmm"
47,Make It Rain,"('Fat Joe', 'Lil Wayne')",['Scott Storch'],55583,43,2007,"[Intro: Fat Joe (Lil Wayne)]
Ooooooowwwwwwww! (Ha ha, chyeah)
Scotty (chyeah)
Let's make it rain on these niggas (Joey Crack)

[Hook: Lil Wayne]
Yeah, I'm in this bitch with the Terror
Got a hand full of stacks, better grab an umbrella
I make it rain, I make it rain (oh!) I'm in this bitch with the Terror
Got a handful of stacks, better grab an umbrella
I make it rain, I make it rain (oh!) make it rain on them hoes
I make it rain, I make it rain (oh!) I make it rain on them hoes
I make it rain, I make it rain (oh!) I make it rain on them hoes
I make it rain, I make it rain (oh!) I make it rain on them hoes
Oww!

[Verse 1: Fat Joe]
Cr-Cr-Crack, Crack, Crack, Crack, Crack, you hear the echo
Man I seen the best go, cause he ain't had that metal
I'm a hustler hustler, a pusher's pusher
You a buster, a customer, I get you some cook up
Yeah Crack is a chemist, I pack an eleven
I'm mackin' the seven, I'll clap at your reverend
I see you in N-Y, I'll send you an invite
You gon' need you a pass, that's the code that we live by

[Hook: Lil Wayne]
Yeah, I'm in this bitch with the Terror
Got a hand full of stacks, better grab an umbrella
I make it rain, I make it rain (oh!) I'm in this bitch with the Terror
Got a handful of stacks, better grab an umbrella
I make it rain, I make it rain (oh!) make it rain on them hoes
I make it rain, I make it rain (oh!) I make it rain on them hoes
I make it rain, I make it rain (oh!) I make it rain on them hoes
I make it rain, I make it rain (oh!) I make it rain on them hoes
Oww!

[Bridge: Fat Joe]
Clap, clap, clap
Gotta make that ass clap, gotta make that ass clap
Clap, clap, clap, clap (yeah)
Gotta make that ass clap (yeah) gotta make that ass clap (yeah)

[Verse 2: Fat Joe]
Now why's everybody so mad at the South for?
Change your style up, switch to southpaw
Jada, I was listenin'
So I made 'em a anthem to make some dividends
Lil' mama try hit me with that shoulder lean
This cut co Crack and I control the team
Couple bricks stacked on that triple beam
My dirty bro sippin' that promethazine
That ganja green, that Cali weed
A nigga lose his life tryna roll on me
Now, yup yup, we get it, no if ands about it
And the rain keep fallin', even when it's droughted

[Hook: Lil Wayne]
Yeah, I'm in this bitch with the Terror
Got a hand full of stacks, better grab an umbrella
I make it rain, I make it rain (oh!) I'm in this bitch with the Terror
Got a handful of stacks, better grab an umbrella
I make it rain, I make it rain (oh!) make it rain on them hoes
I make it rain, I make it rain (oh!) I make it rain on them hoes
I make it rain, I make it rain (oh!) I make it rain on them hoes
I make it rain, I make it rain (oh!) I make it rain on them hoes
Oww!

[Verse 3: Fat Joe]
Mami's body's bangin', she got it, man she does it all
She gets it poppin' with no hands, I make it pour
I make it rain on 'em, I'm layin' game to 'em
I got some misses to tattoo my name on 'em
Gotta get that baby love, gotta get my paper up
Got a stay strapped asap case y'alls hate Crack and wanna rain on us
And you know what it is, yeah it's them powder kids
And we know how to bid, so we don't give a shit

[Hook: Lil Wayne]
Yeah, I'm in this bitch with the Terror
Got a hand full of stacks, better grab an umbrella
I make it rain, I make it rain (oh!) I'm in this bitch with the Terror
Got a handful of stacks, better grab an umbrella
I make it rain, I make it rain (oh!) make it rain on them hoes
I make it rain, I make it rain (oh!) I make it rain on them hoes
I make it rain, I make it rain (oh!) I make it rain on them hoes
I make it rain, I make it rain (oh!) I make it rain on them hoes
Oww!

[Outro: Fat Joe]
Calca, TS, BX niggas
Khaled! Scott Storch, my nigga, yeah
Tony Sunshine, I see you nigga"
48,Make Me Better,"('Fabolous', 'Ne-Yo')",['Timbaland'],115798,44,2007,"[Intro: Ne-Yo & (Fabolous)]
(TIMBO!) Hey! (NE-YO!) Say what? (LOSO!) Hey! Hey!

[Chorus: Ne-Yo]
I'm a movement by myself (Oh!)
But I'm a force when were together
Mami I'm good all by myself (Oh!)
But baby you, you make me better
(You make me better) You make me better
(You make me better) You make me better
(You make me better) You make me better
(You make me better) You make me better

[Verse 1: Fabolous & (Ne-Yo)]
You plus me, it equals better math
Your boy a good look but she my better half
I'm already bossin, already flossin
But why have the cake if it ain't got the sweet frostin
(You're-You're-You're-You're) You're keepin me on my A game
(With-With-With-With) Without havin the same name
(They-They-They-They-They) They might flame
(But-But-But-But) But shorty we burn it up
The sag and my swag, pep in my step
Daddy do the Gucci mami in Giuseppes
Guess it's a G thing whenever we swing
I'm a need Coretta Scott if I'm 'gon be King (Oooh)

[Chorus: Ne-Yo]
I'm a movement by myself (Oh!)
But I'm a force when were together
Mami I'm good all by myself (Oh!)
But baby you, you make me better
(You make me better) You make me better
(You make me better) You make me better
(You make me better) You make me better
(You make me better) You make me better

[Verse 2: Ne-Yo]
First thing's first, I does what I do
But everything I am she's my improve
I'm already bossin, I'm already fly
But if I'm a star, she is the sky
(And-And-And) And when I feel like I'm on top
(She-She-She) She give me reason then I stop
(And-And-And-And-And) And though I'm hot
(To-To-To) Together we burn it up

[Verse 3: Fabolous & (Ne-Yo)]
The caked up cut, the cleaned up ice
The shorty come around, I clean up nice
Dynamic duo, Batman and Robin
Whoever don't like it is that man's problem
(AND-AND-AND) And when I feel like I'm tired
(MA-MA-MA) Mami be takin me higher
(I'M-I'M-I'M-I'M-I'M) I'm on fire
(BUT-BUT-BUT) But shorty we burn it up

[Chorus: Ne-Yo]
I'm a movement by myself (Oh!)
But I'm a force when were together
Mami I'm good all by myself (Oh!)
But baby you, you make me better
(You make me better) You make me better
(You make me better) You make me better
(You make me better) You make me better
(You make me better) You make me better

[Bridge: Ne-Yo]
Cause on the side of every great man
You could find a woman like a soldier holdin him down

[Verse 4: Fabolous]
She treats me like a don, watches for the hit
Checks where I go, even watches who I'm with
The right when I'm wrong, so I never slip
Show me how to move, that's why I never trip
And baby girl you so major they should front page ya (Front page ya)
God bless the parents who made ya (Who made ya)
Middle finger anybody who hate the (Who hate the) way we burn it up

[Chorus: Ne-Yo]
I'm a movement by myself (Oh!)
But I'm a force when were together
Mami I'm good all by myself (Oh!)
But baby you, you make me better
(You make me better) You make me better
(You make me better) You make me better
(You make me better) You make me better
(You make me better) You make me better

[Outro: Fabolous & (Ne-Yo)]
(Ahhhhhhhhh!!!!!!!!!!)
Yeah baby, them lames you playin with, they 'gon push you down
We tryin to compliment you you know, make you better
Top Notch Tim, Nice Look Ne-Yo, Livin Good Loso
They ask you how you doin now, tell 'em better than them
HA HA HA HA HA HA!!!!!!!!!!!

[Chorus: Ne-Yo]
I'm a movement by myself (Oh!)
But I'm a force when were together
Mami I'm good all by myself (Oh!)
But baby you, you make me better
(You make me better) You make me better
(You make me better) You make me better
(You make me better) You make me better
(You make me better) You make me better"
49,Makes Me Wonder,"('Maroon 5',)",['Mark Endert'],48371,13,2007,"[Verse 1]
Wake up, blood-shot eye
Struggle to memorize
The way it felt between your thighs
Pleasure that made you cry
It feels so good to be bad
Not worth the aftermath, after that, after that
Try to get you back

[Pre-Chorus]
I still don't have a reason
And you don't have the time
And it really makes me wonder if I ever gave a fuck about you

[Chorus]
Give me something to believe in
'Cause I don't believe in you anymore, anymore
I wonder if it even makes a difference to try
Yeah, so this is goodbye

[Verse 2]
God damn my spinning head
Decisions that made my bed
Now I must lay in it
And deal with things I've left unsaid
I want to dive into you
Forget what you're going through
I get behind, make your move
Forget about the truth

[Pre-Chorus]
I still don't have a reason
And you don't have the time
And it really makes me wonder if I ever gave a fuck about you

[Chorus 2]
Give me something to believe in
'Cause I don't believe in you anymore, anymore
I wonder if it even makes a difference
It even makes a difference to try, yeah
And you told me how you're feeling
But I don't believe it's true anymore, anymore
I wonder if it even makes a difference to cry
Oh no, so this is goodbye

[Bridge]
Ho-oh-oh-oh
I've been here before
One day I'll wake up and it won't hurt anymore
You caught me in a lie
I have no alibi
The words you say don't have a meaning

[Pre-Chorus 2]
'Cause I still don't have a reason
And you don't have the time
And it really makes me wonder if I ever gave a fuck about you and I
And so this is goodbye

[Chorus 2]
Give me something to believe in
'Cause I don't believe in you anymore, anymore
I wonder if it even makes a difference
It even makes a difference to try, yeah
And you don't how you're feeling
But I don't believe it's true anymore, anymore
I wonder if it even makes a difference to cry
Oh no, so this is goodbye

[Outro]
(Oh no) So this is goodbye
(Oh no) Yeah, so this is goodbye
(Oh no) Yeah, so this is goodbye"
50,Money Maker,"('Ludacris', 'Pharrell')",['The Neptunes'],31232,92,2007,"[Hook: Pharrell & Ludacris]
Shake your money maker
Like somebody's bout to pay ya
I see you on my radar
Don't you act like you're afraid of shit
You know I got it
If you wanna come get it
Stand next to this money
Like - ey ey ey
Shake your money maker
Like somebody's bout to pay ya
Don't worry about them haters
Keep your nose up in the air
You know I got it
If you wanna come get it
Stand next to this money
Like - ey ey ey

[Verse 1: Ludacris]
Shake, shake, shake your money maker
Like you were shaking it for some paper
It took your momma 9 months to make ya
Might as well shake what your momma gave ya
You, you lookin' good in them jeans
I bet you'd look even better with me in between
I keep my mind on my money - money on my mind
But you's a hell of a distraction when you shake your behind
I got J.O. up on my right side pourin' some cups
My whole hood is to my left and they ain't givin a fuck
So feel free to get loose and get carried away
So by tomorrow you forgot what you were saying today
But don't forget about this feeling that I am making you get
And all the calories you burn from me making you sweat
The mile-high points you earn when we taking my jet and
How everywhere you turn I'll be making you wet cause you can

[Hook: Pharrell & Ludacris]
Shake your money maker
Like somebody's bout to pay ya
I see you on my radar
Don't you act like you're afraid of shit
You know I got it
If you wanna come get it
Stand next to this money
Like - ey ey ey
Shake your money maker
Like somebody's bout to pay ya
Don't worry about them haters
Keep your nose up in the air
You know I got it
If you wanna come get it
Stand next to this money
Like - ey ey ey

[Verse 2]
Switch, switch, switch it from right to left
And switch it till you running right out of breath
And take a break until you ready again
And you can invite over as many friends as
You want to but I really want you
Just be thankful that Pharrell gave you something to bump to hey
Luda - I'm at the top of my game
You want my hands from your bottom to the top of your frame
And I - just wanna take a little ride on your curves
And get erotic giving your body just what it deserves and
Let me give you some swimming lessons on the penis
Backstroke, breaststroke, stroke of a genius
Yepp call me the renaissance man get up and
I stay harder then a cinderblock man
Hey I'm just a bedroom gangster
And I've been meaning to tell that I really must thank ya when you

[Hook: Pharrell & Ludacris]
Shake your money maker
Like somebody's bout to pay ya
I see you on my radar
Don't you act like you're afraid of shit
You know I got it
If you wanna come get it
Stand next to this money
Like - ey ey ey
Shake your money maker
Like somebody's bout to pay ya
Don't worry about them haters
Keep your nose up in the air
You know I got it
If you wanna come get it
Stand next to this money
Like - ey ey ey

[Verse 3]
Rock rock, rock it an make it work, girl
Please don't stop it until it hurts, girl
You - you been looking a little tipsy
So if you could just shake it a little this way
See I'm a member of the BBC
The original breadwinner of DTP
You the center of attention that is distracting the squad
Cause everybody in the campus like - OH MY GOD she can

[Hook: Pharrell & Ludacris]
Shake your money maker
Like somebody's bout to pay ya
I see you on my radar
Don't you act like you're afraid of shit
You know I got it
If you wanna come get it
Stand next to this money
Like - ey ey ey
Shake your money maker
Like somebody's bout to pay ya
Don't worry about them haters
Keep your nose up in the air
You know I got it
If you wanna come get it
Stand next to this money
Like - ey ey ey"
